name,type,company_id,company_name,registration_date,status
BRANISLAV BOKUR,Legal Representatives,C 34942,BCB SOLUTION LTD.,"Nov 05, 2004",
BOBAN STEFANOVIC,Legal Representatives,C 34942,BCB SOLUTION LTD.,"Nov 05, 2004",
BRANISLAV BOKUR,Directors,C 34942,BCB SOLUTION LTD.,"Nov 05, 2004",
BOBAN STEFANOVIC,Directors,C 34942,BCB SOLUTION LTD.,"Nov 05, 2004",
BRANISLAV BOKUR,Judicial Representatives,C 34942,BCB SOLUTION LTD.,"Nov 05, 2004",
BOBAN STEFANOVIC,Judicial Representatives,C 34942,BCB SOLUTION LTD.,"Nov 05, 2004",
BOBAN STEFANOVIC,Secretaries,C 34942,BCB SOLUTION LTD.,"Nov 05, 2004",
BRANISLAV BOKUR,Shareholders,C 34942,BCB SOLUTION LTD.,"Nov 05, 2004",
BOBAN STEFANOVIC,Shareholders,C 34942,BCB SOLUTION LTD.,"Nov 05, 2004",
MIRKO UROSEVIC,Legal Representatives,C 76274,BNB YACHTS LIMITED,"Jul 04, 2016",
MIRKO UROSEVIC,Directors,C 76274,BNB YACHTS LIMITED,"Jul 04, 2016",
MIRKO UROSEVIC,Judicial Representatives,C 76274,BNB YACHTS LIMITED,"Jul 04, 2016",
MIRKO UROSEVIC,Shareholders,C 76274,BNB YACHTS LIMITED,"Jul 04, 2016",
ZORAN RANKOVIC,Legal Representatives,C 41391,BIG BLUE LTD.,"May 16, 2007",
ZORAN RANKOVIC,Directors,C 41391,BIG BLUE LTD.,"May 16, 2007",
ZORAN RANKOVIC,Judicial Representatives,C 41391,BIG BLUE LTD.,"May 16, 2007",
ZORAN RANKOVIC,Shareholders,C 41391,BIG BLUE LTD.,"May 16, 2007",
MILAN DEKIC,Legal Representatives,C 79116,BREVITAS LIMITED,"Jan 13, 2017",
MILAN DEKIC,Directors,C 79116,BREVITAS LIMITED,"Jan 13, 2017",
MILAN DEKIC,Judicial Representatives,C 79116,BREVITAS LIMITED,"Jan 13, 2017",
DEJAN LEKIC,Legal Representatives,C 44985,BETTBET.COM LIMITED,"Aug 27, 2008",
DEJAN LEKIC,Shareholders,C 44985,BETTBET.COM LIMITED,"Aug 27, 2008",
DEJAN LEKIC,Judicial Representatives,C 44985,BETTBET.COM LIMITED,"Aug 27, 2008",
DEJAN LEKIC,Directors,C 44985,BETTBET.COM LIMITED,"Aug 27, 2008",
MILAN NESKOV,Legal Representatives,C 79708,ANGE BLEU MALTA LTD,"Feb 24, 2017",
