name,type,company_id,company_name,registration_date,status
CHIA PUAY SAN,Legal Representatives,C 65217,AQUANOVA LIMITED,"May 19, 2014",
CHIA PUAY SAN,Directors,C 65217,AQUANOVA LIMITED,"May 19, 2014",
CHIA PUAY SAN,Judicial Representatives,C 65217,AQUANOVA LIMITED,"May 19, 2014",
JENAGI RATNAM,Directors,C 8260,ARANCO LINE SHIPPING COMPANY LIMITED,"Aug 25, 1986",
NADESAN RATNAM,Directors,C 8260,ARANCO LINE SHIPPING COMPANY LIMITED,"Aug 25, 1986",
SIAW KIN YEOW,Directors,C 33807,ALOHA CONSTRUCTION LIMITED,"Apr 27, 2004",
SIAW KIN YEOW,Judicial Representatives,C 33807,ALOHA CONSTRUCTION LIMITED,"Apr 27, 2004",
RAVI BABU CHILUKURI,Legal Representatives,C 43296,BIOFUELS INTERNATIONAL LIMITED,"Jan 09, 2008",
RAVI BABU CHILUKURI,Directors,C 43296,BIOFUELS INTERNATIONAL LIMITED,"Jan 09, 2008",
RAVI BABU CHILUKURI,Judicial Representatives,C 43296,BIOFUELS INTERNATIONAL LIMITED,"Jan 09, 2008",
RAVI BABU CHILUKURI,Shareholders,C 43296,BIOFUELS INTERNATIONAL LIMITED,"Jan 09, 2008",
ALN LIM CHOI HWEE,Directors,C 6423,BARJO LTD ( D 2433 ),Company Status,In Dissolution
ALN LIM CHOI HWEE,Directors,OC 467,BARITON PTE LTD,"Jan 26, 2010",
DEVANANDAN KIZHAKKOOT KUNJAYYAPPAN,Legal Representatives,C 69005,AVANTGARDE TANKERS LTD,"Feb 12, 2015",
DEVANANDAN KIZHAKKOOT KUNJAYYAPPAN,Directors,C 69005,AVANTGARDE TANKERS LTD,"Feb 12, 2015",
DEVANANDAN KIZHAKKOOT KUNJAYYAPPAN,Judicial Representatives,C 69005,AVANTGARDE TANKERS LTD,"Feb 12, 2015",
KOK FAI KONG,Legal Representatives,C 27020,ASM ASSEMBLY EQUIPMENT MALTA LIMITED,"Sep 29, 2000",
KOK FAI KONG,Judicial Representatives,C 27020,ASM ASSEMBLY EQUIPMENT MALTA LIMITED,"Sep 29, 2000",
KOK FAI KONG,Directors,C 27020,ASM ASSEMBLY EQUIPMENT MALTA LIMITED,"Sep 29, 2000",
RAVI BABU CHILUKURI,Legal Representatives,C 43789,BIOFUELS HOLDINGS (HUNGARY) LIMITED,"Mar 17, 2008",
RAVI BABU CHILUKURI,Directors,C 43789,BIOFUELS HOLDINGS (HUNGARY) LIMITED,"Mar 17, 2008",
RAVI BABU CHILUKURI,Judicial Representatives,C 43789,BIOFUELS HOLDINGS (HUNGARY) LIMITED,"Mar 17, 2008",
