name,type,company_id,company_name,registration_date,status
LUBOMIR SOLTYS,Legal Representatives,C 70704,AMYNA HOLDING LIMITED,"May 21, 2015",
LUBOMIR SOLTYS,Shareholders,C 70704,AMYNA HOLDING LIMITED,"May 21, 2015",
LUBOMIR SOLTYS,Judicial Representatives,C 70704,AMYNA HOLDING LIMITED,"May 21, 2015",
LUBOMIR SOLTYS,Directors,C 70704,AMYNA HOLDING LIMITED,"May 21, 2015",
DANIELA VARGOVA,Shareholders,C 71545,ARKRAL CAPITAL LIMITED,"Jul 22, 2015",
IMRICH VASIL,Shareholders,C 59620,AMBER TENGER LIMITED,"Mar 08, 2013",
LUBOMIR SOLTYS,Legal Representatives,C 5411,AMYNTAS SHIPPING CO LTD,Company Status,
LUBOMIR SOLTYS,Shareholders,C 5411,AMYNTAS SHIPPING CO LTD,Company Status,
LUBOMIR SOLTYS,Judicial Representatives,C 5411,AMYNTAS SHIPPING CO LTD,Company Status,
LUBOMIR SOLTYS,Directors,C 5411,AMYNTAS SHIPPING CO LTD,Company Status,
ALEXANDRA BROSZOVA ING.,Shareholders,C 58316,BIODIESEL INVESTMENT CORPORATION LTD,"Nov 22, 2012",In Dissolution
MARTIN FERANEC,Legal Representatives,C 79483,AQUARIUS HOLDINGS LIMITED,"Feb 09, 2017",
MARTIN FERANEC,Directors,C 79483,AQUARIUS HOLDINGS LIMITED,"Feb 09, 2017",
MARTIN FERANEC,Judicial Representatives,C 79483,AQUARIUS HOLDINGS LIMITED,"Feb 09, 2017",
MARTIN FERANEC,Shareholders,C 79483,AQUARIUS HOLDINGS LIMITED,"Feb 09, 2017",
LUBICA ONDOVA,Legal Representatives,C 36157,BEAUFORT SHIPPING LIMITED,"May 05, 2005",
LUBICA ONDOVA,Directors,C 36157,BEAUFORT SHIPPING LIMITED,"May 05, 2005",
LUBICA ONDOVA,Judicial Representatives,C 36157,BEAUFORT SHIPPING LIMITED,"May 05, 2005",
LUCIA BORISAVLJEVICOVA,Secretaries,C 70961,BD Electronics Ltd.,"Jun 15, 2015",
FRANTISEK TOTH,Legal Representatives,C 53478,BETVIA LIMITED,"Jul 27, 2011",In Dissolution
FRANTISEK TOTH,Judicial Representatives,C 53478,BETVIA LIMITED,"Jul 27, 2011",In Dissolution
FRANTISEK TOTH,Directors,C 53478,BETVIA LIMITED,"Jul 27, 2011",In Dissolution
MARTIN FERANEC,Legal Representatives,C 79484,AQUARIUS ALFA LIMITED,"Apr 07, 2017",
