name,type,company_id,company_name,registration_date,status
IGOR ZUNKOVIC,Shareholders,C 46768,BRELLINGTON YACHTING LIMITED,"May 07, 2009",
Sintija Mucibabic,Legal Representatives,C 53470,BANDAL LIMITED,"Jul 26, 2011",In Dissolution
Sintija Mucibabic,Judicial Representatives,C 53470,BANDAL LIMITED,"Jul 26, 2011",In Dissolution
Sintija Mucibabic,Directors,C 53470,BANDAL LIMITED,"Jul 26, 2011",In Dissolution
LUKAS PHILIPP HOLLIGE,Shareholders,C 65627,AMS Ltd,"Jun 16, 2014",
BORIS LESJAK,Shareholders,C 52684,B&L HOLDING LTD,"Apr 26, 2011",
MARKO SEDOVNIK,Shareholders,C 52684,B&L HOLDING LTD,"Apr 26, 2011",
DAMIR KURECIC,Shareholders,C 59885,BRANCH GLIDE HOLDINGS LIMITED,"Apr 03, 2013",
BORIS LESJAK,Shareholders,C 1871,B&M (PLANT & EQUIPMENT) LIMITED ( D 596 ),Company Status,In Dissolution
BORIS LESJAK,Shareholders,C 52957,B&L LTD,"May 25, 2011",
ROK BABAROVIC,Legal Representatives,C 69849,ASTMAR LIMITED,"Apr 01, 2015",
ROK BABAROVIC,Judicial Representatives,C 69849,ASTMAR LIMITED,"Apr 01, 2015",
ROK BABAROVIC,Directors,C 69849,ASTMAR LIMITED,"Apr 01, 2015",
ROK BABAROVIC,Secretaries,C 69849,ASTMAR LIMITED,"Apr 01, 2015",
ALEKSANDER DEMSAR,Legal Representatives,C 56443,ASW LIMITED,"May 24, 2012",
SERGEJ SEVER,Legal Representatives,C 56443,ASW LIMITED,"May 24, 2012",
ALEKSANDER DEMSAR,Judicial Representatives,C 56443,ASW LIMITED,"May 24, 2012",
SERGEJ SEVER,Judicial Representatives,C 56443,ASW LIMITED,"May 24, 2012",
ALEKSANDER DEMSAR,Directors,C 56443,ASW LIMITED,"May 24, 2012",
SERGEJ SEVER,Directors,C 56443,ASW LIMITED,"May 24, 2012",
