name,type,company_id,company_name,registration_date,status
Jindi Hogewind,Legal Representatives,C 40846,AMBITION AFRICA CONSULTING LTD,"Feb 23, 2007",
Jindi Hogewind,Shareholders,C 40846,AMBITION AFRICA CONSULTING LTD,"Feb 23, 2007",
Jindi Hogewind,Judicial Representatives,C 40846,AMBITION AFRICA CONSULTING LTD,"Feb 23, 2007",
Jindi Hogewind,Directors,C 40846,AMBITION AFRICA CONSULTING LTD,"Feb 23, 2007",
CRISPIAN DOUGLAS DILLON,Legal Representatives,C 72269,BOUNTY BRANDS ENTERPRISES LIMITED,"Sep 16, 2015",
CRISPIAN DOUGLAS DILLON,Judicial Representatives,C 72269,BOUNTY BRANDS ENTERPRISES LIMITED,"Sep 16, 2015",
CRISPIAN DOUGLAS DILLON,Directors,C 72269,BOUNTY BRANDS ENTERPRISES LIMITED,"Sep 16, 2015",
SEAN MICHAEL DOWDEN,Legal Representatives,C 60025,Bonded Stockholders (International) Limited,"Apr 15, 2013",
SEAN MICHAEL DOWDEN,Judicial Representatives,C 60025,Bonded Stockholders (International) Limited,"Apr 15, 2013",
SEAN MICHAEL DOWDEN,Directors,C 60025,Bonded Stockholders (International) Limited,"Apr 15, 2013",
SEAN MICHAEL DOWDEN,Secretaries,C 60025,Bonded Stockholders (International) Limited,"Apr 15, 2013",
SEAN MICHAEL DOWDEN,Legal Representatives,C 33378,BROMLEY PROPERTIES LIMITED,"Mar 08, 2004",
SEAN MICHAEL DOWDEN,Judicial Representatives,C 33378,BROMLEY PROPERTIES LIMITED,"Mar 08, 2004",
SEAN MICHAEL DOWDEN,Directors,C 33378,BROMLEY PROPERTIES LIMITED,"Mar 08, 2004",
SEAN MICHAEL DOWDEN,Secretaries,C 33378,BROMLEY PROPERTIES LIMITED,"Mar 08, 2004",
FRANCOIS VISSER,Legal Representatives,C 27475,ANGLOGOLD FINANCE AUSTRALIA HOLDINGS LIMITED,"Dec 20, 2000",
FRANCOIS VISSER,Judicial Representatives,C 27475,ANGLOGOLD FINANCE AUSTRALIA HOLDINGS LIMITED,"Dec 20, 2000",
FRANCOIS VISSER,Directors,C 27475,ANGLOGOLD FINANCE AUSTRALIA HOLDINGS LIMITED,"Dec 20, 2000",
ENGENAS STEPHANAS ZEEMAN BOTHA HAVENGA,Legal Representatives,C 55450,AVS LIMITED,"Feb 27, 2012",
ENGENAS STEPHANAS ZEEMAN BOTHA HAVENGA,Directors,C 55450,AVS LIMITED,"Feb 27, 2012",
ENGENAS STEPHANAS ZEEMAN BOTHA HAVENGA,Judicial Representatives,C 55450,AVS LIMITED,"Feb 27, 2012",
ENGENAS STEPHANAS ZEEMAN BOTHA HAVENGA,Secretaries,C 55450,AVS LIMITED,"Feb 27, 2012",
ENGENAS STEPHANAS ZEEMAN BOTHA HAVENGA,Shareholders,C 55450,AVS LIMITED,"Feb 27, 2012",
JAN HARM SNYMAN,Secretaries,C 66945,Azur Estate Ltd,"Oct 03, 2014",
ALETTA CATHARINA BRITZ,Legal Representatives,C 77773,BETACORP INTERNATIONAL LIMITED,"Oct 24, 2016",
ALETTA CATHARINA BRITZ,Directors,C 77773,BETACORP INTERNATIONAL LIMITED,"Oct 24, 2016",
ALETTA CATHARINA BRITZ,Judicial Representatives,C 77773,BETACORP INTERNATIONAL LIMITED,"Oct 24, 2016",
BOSMAN DE BEER,Directors,OC 792,BERKELEY PRIVATE WEALTH LIMITED,"Apr 11, 2014",
STEVEN CRAIG MORRIS,Legal Representatives,C 76432,AWAY TEAM SUPPORTERS CLUB LIMITED,"Jul 13, 2016",
STEVEN CRAIG MORRIS,Directors,C 76432,AWAY TEAM SUPPORTERS CLUB LIMITED,"Jul 13, 2016",
STEVEN CRAIG MORRIS,Judicial Representatives,C 76432,AWAY TEAM SUPPORTERS CLUB LIMITED,"Jul 13, 2016",
SEAN MICHAEL DOWDEN,Legal Representatives,C 56258,AUGUSTEA BULK CARRIER LTD,"May 10, 2012",
SEAN MICHAEL DOWDEN,Directors,C 56258,AUGUSTEA BULK CARRIER LTD,"May 10, 2012",
SEAN MICHAEL DOWDEN,Judicial Representatives,C 56258,AUGUSTEA BULK CARRIER LTD,"May 10, 2012",
SEAN MICHAEL DOWDEN,Legal Representatives,C 54781,Bedford Limited,"Dec 21, 2011",In Dissolution
SEAN MICHAEL DOWDEN,Judicial Representatives,C 54781,Bedford Limited,"Dec 21, 2011",In Dissolution
SEAN MICHAEL DOWDEN,Directors,C 54781,Bedford Limited,"Dec 21, 2011",In Dissolution
SEAN MICHAEL DOWDEN,Legal Representatives,C 63576,APNAG HOLDING LIMITED,"Jan 22, 2014",
SEAN MICHAEL DOWDEN,Judicial Representatives,C 63576,APNAG HOLDING LIMITED,"Jan 22, 2014",
SEAN MICHAEL DOWDEN,Directors,C 63576,APNAG HOLDING LIMITED,"Jan 22, 2014",
JENS BJERRE SMITH,Legal Representatives,C 70480,ALPHA DESIGN ASSOCIATES LIMITED,"May 08, 2015",
JENS BJERRE SMITH,Directors,C 70480,ALPHA DESIGN ASSOCIATES LIMITED,"May 08, 2015",
JENS BJERRE SMITH,Judicial Representatives,C 70480,ALPHA DESIGN ASSOCIATES LIMITED,"May 08, 2015",
JENS BJERRE SMITH,Secretaries,C 70480,ALPHA DESIGN ASSOCIATES LIMITED,"May 08, 2015",
SEAN MICHAEL DOWDEN,Legal Representatives,C 77838,BRIDGEPORT HOLDINGS LIMITED,"Oct 28, 2016",
SEAN MICHAEL DOWDEN,Directors,C 77838,BRIDGEPORT HOLDINGS LIMITED,"Oct 28, 2016",
SEAN MICHAEL DOWDEN,Judicial Representatives,C 77838,BRIDGEPORT HOLDINGS LIMITED,"Oct 28, 2016",
EGBERTUS LE ROUX,Legal Representatives,C 50226,4LIFE INTERNATIONAL GROUP LIMITED,"Jul 19, 2010",
EGBERTUS LE ROUX,Judicial Representatives,C 50226,4LIFE INTERNATIONAL GROUP LIMITED,"Jul 19, 2010",
EGBERTUS LE ROUX,Directors,C 50226,4LIFE INTERNATIONAL GROUP LIMITED,"Jul 19, 2010",
FREDERICK MARTHINUS SERFONTEIN,Legal Representatives,C 39710,BETWAY LIMITED,"Oct 10, 2006",
FREDERICK MARTHINUS SERFONTEIN,Judicial Representatives,C 39710,BETWAY LIMITED,"Oct 10, 2006",
FREDERICK MARTHINUS SERFONTEIN,Directors,C 39710,BETWAY LIMITED,"Oct 10, 2006",
ESTATE OF IAN JOEL SHANDLER,Shareholders,C 42532,AUDIAN HOLDINGS LIMITED,"Oct 08, 2007",In Dissolution
HALDANE MURRAY,Secretaries,C 59474,BORDERLESS TRADING MALTA LIMITED,"Feb 27, 2013",
RICHARD GORDON,Legal Representatives,C 38212,ASTER SHIPPING CO. LTD.,"Mar 14, 2006",
ANDRE SLABBERT,Legal Representatives,C 38212,ASTER SHIPPING CO. LTD.,"Mar 14, 2006",
RICHARD GORDON,Directors,C 38212,ASTER SHIPPING CO. LTD.,"Mar 14, 2006",
ANDRE SLABBERT,Directors,C 38212,ASTER SHIPPING CO. LTD.,"Mar 14, 2006",
RICHARD GORDON,Judicial Representatives,C 38212,ASTER SHIPPING CO. LTD.,"Mar 14, 2006",
ANDRE SLABBERT,Judicial Representatives,C 38212,ASTER SHIPPING CO. LTD.,"Mar 14, 2006",
CLIVE RODNEY ELSE,Legal Representatives,C 62044,BLYTH CAPITAL PARTNERS LIMITED,"Sep 26, 2013",
CLIVE RODNEY ELSE,Judicial Representatives,C 62044,BLYTH CAPITAL PARTNERS LIMITED,"Sep 26, 2013",
CLIVE RODNEY ELSE,Directors,C 62044,BLYTH CAPITAL PARTNERS LIMITED,"Sep 26, 2013",
CLIVE RODNEY ELSE,Secretaries,C 62044,BLYTH CAPITAL PARTNERS LIMITED,"Sep 26, 2013",
SEAN MICHAEL DOWDEN,Legal Representatives,C 63556,BRIDGEPORT INVESTMENTS LIMITED,"Jan 21, 2014",
SEAN MICHAEL DOWDEN,Judicial Representatives,C 63556,BRIDGEPORT INVESTMENTS LIMITED,"Jan 21, 2014",
SEAN MICHAEL DOWDEN,Directors,C 63556,BRIDGEPORT INVESTMENTS LIMITED,"Jan 21, 2014",
SEAN MICHAEL DOWDEN,Secretaries,C 63556,BRIDGEPORT INVESTMENTS LIMITED,"Jan 21, 2014",
JASON LAMBE,Legal Representatives,C 47890,BISON LIMITED,"Oct 09, 2009",
JASON LAMBE,Directors,C 47890,BISON LIMITED,"Oct 09, 2009",
JASON LAMBE,Judicial Representatives,C 47890,BISON LIMITED,"Oct 09, 2009",
CRISPIAN DOUGLAS DILLON,Legal Representatives,C 72271,BOUNTY BRANDS SA LIMITED,"Sep 16, 2015",
CRISPIAN DOUGLAS DILLON,Judicial Representatives,C 72271,BOUNTY BRANDS SA LIMITED,"Sep 16, 2015",
CRISPIAN DOUGLAS DILLON,Directors,C 72271,BOUNTY BRANDS SA LIMITED,"Sep 16, 2015",
SARA FREDERIKA VAN DER SANDE,Legal Representatives,C 61399,BESS LIMITED,"Aug 01, 2013",
JEAN MARIUS SLABBERT,Shareholders,C 61399,BESS LIMITED,"Aug 01, 2013",
SARA FREDERIKA VAN DER SANDE,Judicial Representatives,C 61399,BESS LIMITED,"Aug 01, 2013",
SARA FREDERIKA VAN DER SANDE,Directors,C 61399,BESS LIMITED,"Aug 01, 2013",
JEAN MARIUS SLABBERT,Secretaries,C 61399,BESS LIMITED,"Aug 01, 2013",
WILLEM VAN AARDT,Legal Representatives,C 76008,AMERICASH HOLDINGS LTD,"Jun 10, 2016",
WILLEM VAN AARDT,Directors,C 76008,AMERICASH HOLDINGS LTD,"Jun 10, 2016",
WILLEM VAN AARDT,Judicial Representatives,C 76008,AMERICASH HOLDINGS LTD,"Jun 10, 2016",
BEN CHRISTOPHER BREDENKAMP,Secretaries,C 76008,AMERICASH HOLDINGS LTD,"Jun 10, 2016",
JEAN MARIUS SLABBERT,Legal Representatives,C 58044,AMARON INTERNATIONAL LIMITED,"Oct 29, 2012",
JEAN MARIUS SLABBERT,Shareholders,C 58044,AMARON INTERNATIONAL LIMITED,"Oct 29, 2012",
JEAN MARIUS SLABBERT,Judicial Representatives,C 58044,AMARON INTERNATIONAL LIMITED,"Oct 29, 2012",
JEAN MARIUS SLABBERT,Directors,C 58044,AMARON INTERNATIONAL LIMITED,"Oct 29, 2012",
JACQUES CARL SLABBERT,Secretaries,C 58044,AMARON INTERNATIONAL LIMITED,"Oct 29, 2012",
KEITH KIRBY,Legal Representatives,C 5068,Aquin Corporate Services Limited,Company Status,
KEITH KIRBY,Shareholders,C 5068,Aquin Corporate Services Limited,Company Status,
KEITH KIRBY,Judicial Representatives,C 5068,Aquin Corporate Services Limited,Company Status,
KEITH KIRBY,Directors,C 5068,Aquin Corporate Services Limited,Company Status,
KEITH KIRBY,Secretaries,C 5068,Aquin Corporate Services Limited,Company Status,
DEREK MORRAN,Legal Representatives,C 43608,BET FUN INTERNATIONAL LTD,"Feb 19, 2008",
DEREK MORRAN,Shareholders,C 43608,BET FUN INTERNATIONAL LTD,"Feb 19, 2008",
DEREK MORRAN,Judicial Representatives,C 43608,BET FUN INTERNATIONAL LTD,"Feb 19, 2008",
DEREK MORRAN,Directors,C 43608,BET FUN INTERNATIONAL LTD,"Feb 19, 2008",
JONATHAN BRUCE SIDEGO,Shareholders,C 75869,AUGMENTPARTNERS LIMITED,"May 31, 2016",
CRISPIAN DOUGLAS DILLON,Legal Representatives,C 72276,BOUNTY BRANDS EUROPE LIMITED,"Sep 16, 2015",
CRISPIAN DOUGLAS DILLON,Judicial Representatives,C 72276,BOUNTY BRANDS EUROPE LIMITED,"Sep 16, 2015",
CRISPIAN DOUGLAS DILLON,Directors,C 72276,BOUNTY BRANDS EUROPE LIMITED,"Sep 16, 2015",
SEAN MICHAEL DOWDEN,Legal Representatives,C 5926,BROMOFUME TECHNICS LTD,Company Status,
SEAN MICHAEL DOWDEN,Judicial Representatives,C 5926,BROMOFUME TECHNICS LTD,Company Status,
SEAN MICHAEL DOWDEN,Directors,C 5926,BROMOFUME TECHNICS LTD,Company Status,
SEAN MICHAEL DOWDEN,Secretaries,C 5926,BROMOFUME TECHNICS LTD,Company Status,
SEAN MICHAEL DOWDEN,Legal Representatives,C 53629,ARDEN LIMITED,"Aug 17, 2011",
SEAN MICHAEL DOWDEN,Judicial Representatives,C 53629,ARDEN LIMITED,"Aug 17, 2011",
SEAN MICHAEL DOWDEN,Directors,C 53629,ARDEN LIMITED,"Aug 17, 2011",
SEAN MICHAEL DOWDEN,Secretaries,C 53629,ARDEN LIMITED,"Aug 17, 2011",
JASON LAMBE,Legal Representatives,C 47880,BELL CAPITAL HOLDINGS LIMITED,"Oct 09, 2009",
JASON LAMBE,Directors,C 47880,BELL CAPITAL HOLDINGS LIMITED,"Oct 09, 2009",
JASON LAMBE,Judicial Representatives,C 47880,BELL CAPITAL HOLDINGS LIMITED,"Oct 09, 2009",
JASON LAMBE,Shareholders,C 47880,BELL CAPITAL HOLDINGS LIMITED,"Oct 09, 2009",
ESTATE OF IAN JOEL SHANDLER,Shareholders,C 4142,AUDIO WORKS LIMITED,Company Status,
