name,type,company_id,company_name,registration_date,status
ANA MARIA BRAVO DE LAGUNA BLANDY,Shareholders,C 6243,BERMARK INDUSTRIES LTD ( D 2873 ),Company Status,In Dissolution
JUANA BRAVO DE LAGUNA BLANDY,Shareholders,C 6243,BERMARK INDUSTRIES LTD ( D 2873 ),Company Status,In Dissolution
MARIA DEL CARMEN BRAVO DE LAGUNA BLANDY,Shareholders,C 6243,BERMARK INDUSTRIES LTD ( D 2873 ),Company Status,In Dissolution
MARGARITA MARIA DEL PINO BRAVO DE LAGUNA BLANDY,Shareholders,C 6243,BERMARK INDUSTRIES LTD ( D 2873 ),Company Status,In Dissolution
JUAN JOSE MARCO JURADO,Legal Representatives,C 40091,BRITISH AMERICAN TOBACCO (MALTA) LIMITED,"Nov 30, 2006",
JUAN JOSE MARCO JURADO,Judicial Representatives,C 40091,BRITISH AMERICAN TOBACCO (MALTA) LIMITED,"Nov 30, 2006",
JUAN JOSE MARCO JURADO,Directors,C 40091,BRITISH AMERICAN TOBACCO (MALTA) LIMITED,"Nov 30, 2006",
RAMON CARRASCO FERRER,Legal Representatives,C 63062,BOREAS OVERSEAS LIMITED,"Dec 11, 2013",
RAMON CARRASCO FERRER,Directors,C 63062,BOREAS OVERSEAS LIMITED,"Dec 11, 2013",
RAMON CARRASCO FERRER,Judicial Representatives,C 63062,BOREAS OVERSEAS LIMITED,"Dec 11, 2013",
RAMON CARRASCO FERRER,Shareholders,C 63062,BOREAS OVERSEAS LIMITED,"Dec 11, 2013",
PEDRO TELLERIA BASSADONE,Legal Representatives,C 61976,BASTEL HOLDINGS LIMITED,"Sep 20, 2013",
TANIA TELLERIA BASSADONE,Shareholders,C 61976,BASTEL HOLDINGS LIMITED,"Sep 20, 2013",
PEDRO TELLERIA BASSADONE,Judicial Representatives,C 61976,BASTEL HOLDINGS LIMITED,"Sep 20, 2013",
PEDRO TELLERIA BASSADONE,Directors,C 61976,BASTEL HOLDINGS LIMITED,"Sep 20, 2013",
EUGENIO MARTINEZ JIMENEZ,Legal Representatives,C 47737,BRAYFIELD LIMITED,"Sep 15, 2009",
EUGENIO MARTINEZ JIMENEZ,Directors,C 47737,BRAYFIELD LIMITED,"Sep 15, 2009",
EUGENIO MARTINEZ JIMENEZ,Judicial Representatives,C 47737,BRAYFIELD LIMITED,"Sep 15, 2009",
EUGENIO MARTINEZ JIMENEZ,Shareholders,C 47737,BRAYFIELD LIMITED,"Sep 15, 2009",
ANA MARIA MASQUERA GODOY,Shareholders,C 47737,BRAYFIELD LIMITED,"Sep 15, 2009",
FEDERICO SAINZ DE VICUNA,Legal Representatives,C 40205,ARCONAS INTERNATIONAL LIMITED,"Dec 07, 2006",
FEDERICO SAINZ DE VICUNA,Judicial Representatives,C 40205,ARCONAS INTERNATIONAL LIMITED,"Dec 07, 2006",
FEDERICO SAINZ DE VICUNA,Directors,C 40205,ARCONAS INTERNATIONAL LIMITED,"Dec 07, 2006",
FRANCISCO MUNOZ HERNANDEZ,Legal Representatives,C 74577,auripac holding Ltd,"Mar 01, 2016",
FRANCISCO MUNOZ HERNANDEZ,Directors,C 74577,auripac holding Ltd,"Mar 01, 2016",
FRANCISCO MUNOZ HERNANDEZ,Judicial Representatives,C 74577,auripac holding Ltd,"Mar 01, 2016",
FRANCISCO MUNOZ HERNANDEZ,Shareholders,C 74577,auripac holding Ltd,"Mar 01, 2016",
MANUEL FIDEL NAVARRETE ALGUACIL,Legal Representatives,C 49010,BETALIA LIMITED,"Mar 03, 2010",
MANUEL FIDEL NAVARRETE ALGUACIL,Shareholders,C 49010,BETALIA LIMITED,"Mar 03, 2010",
MANUEL FIDEL NAVARRETE ALGUACIL,Judicial Representatives,C 49010,BETALIA LIMITED,"Mar 03, 2010",
MANUEL FIDEL NAVARRETE ALGUACIL,Directors,C 49010,BETALIA LIMITED,"Mar 03, 2010",
LUIS GARCIA BADILLO,Secretaries,C 49010,BETALIA LIMITED,"Mar 03, 2010",
ARGIMIRO ROGELIO ANTELO CASAIS,Legal Representatives,C 44947,ARCA INTERNATIONAL GROUP LIMITED,"Aug 22, 2008",
ARGIMIRO ROGELIO ANTELO CASAIS,Directors,C 44947,ARCA INTERNATIONAL GROUP LIMITED,"Aug 22, 2008",
ARGIMIRO ROGELIO ANTELO CASAIS,Judicial Representatives,C 44947,ARCA INTERNATIONAL GROUP LIMITED,"Aug 22, 2008",
JOSE RIBALTA,Shareholders,C 20549,BERNARDINO HOLDINGS LIMITED,"Sep 12, 1996",
JAVIER FERNANDEZ ROZADO,Legal Representatives,C 73453,BERAGUA RETAIL SERVICES LIMITED,"Dec 09, 2015",
JAVIER FERNANDEZ ROZADO,Directors,C 73453,BERAGUA RETAIL SERVICES LIMITED,"Dec 09, 2015",
JAVIER FERNANDEZ ROZADO,Judicial Representatives,C 73453,BERAGUA RETAIL SERVICES LIMITED,"Dec 09, 2015",
MONICA FERNANDEZ MARTINEZ,Secretaries,C 49470,ARTOS HOLDING LIMITED,"Apr 23, 2010",
ALEKSEI TSITSILIN,Shareholders,C 57138,ALVISA INTERNATIONAL COMPANY LIMITED,"Aug 02, 2012",
SEBASTIAN CASTILLO MARTINEZ,Legal Representatives,C 49805,BETALLTIME INTERNATIONAL GROUP LIMITED,"Jun 01, 2010",
SEBASTIAN CASTILLO MARTINEZ,Directors,C 49805,BETALLTIME INTERNATIONAL GROUP LIMITED,"Jun 01, 2010",
SEBASTIAN CASTILLO MARTINEZ,Judicial Representatives,C 49805,BETALLTIME INTERNATIONAL GROUP LIMITED,"Jun 01, 2010",
SEBASTIAN CASTILLO MARTINEZ,Shareholders,C 49805,BETALLTIME INTERNATIONAL GROUP LIMITED,"Jun 01, 2010",
JAVIER SANCHEZ ARCO,Shareholders,C 49805,BETALLTIME INTERNATIONAL GROUP LIMITED,"Jun 01, 2010",
ALBERTO LLANEZA MARTIN,Legal Representatives,C 59701,AUDENTIA CAPITAL LIMITED,"Mar 15, 2013",
MANUEL JESUS SUAREZ VALLINA,Legal Representatives,C 59701,AUDENTIA CAPITAL LIMITED,"Mar 15, 2013",
ALBERTO LLANEZA MARTIN,Judicial Representatives,C 59701,AUDENTIA CAPITAL LIMITED,"Mar 15, 2013",
MANUEL JESUS SUAREZ VALLINA,Judicial Representatives,C 59701,AUDENTIA CAPITAL LIMITED,"Mar 15, 2013",
ALBERTO LLANEZA MARTIN,Directors,C 59701,AUDENTIA CAPITAL LIMITED,"Mar 15, 2013",
MANUEL JESUS SUAREZ VALLINA,Directors,C 59701,AUDENTIA CAPITAL LIMITED,"Mar 15, 2013",
ALBERTO LLANEZA MARTIN,Secretaries,C 59701,AUDENTIA CAPITAL LIMITED,"Mar 15, 2013",
TEODORO CANO ABELLAN,Shareholders,C 55928,BASALT INVESTMENTS LTD,"Apr 10, 2012",
ALBERTO LLANEZA MARTIN,Legal Representatives,C 79067,AUDENTIA CAPITAL MANAGEMENT LTD,"Jan 11, 2017",
JORGE RODRIGUEZ,Legal Representatives,C 79067,AUDENTIA CAPITAL MANAGEMENT LTD,"Jan 11, 2017",
ALBERTO LLANEZA MARTIN,Directors,C 79067,AUDENTIA CAPITAL MANAGEMENT LTD,"Jan 11, 2017",
JORGE RODRIGUEZ,Directors,C 79067,AUDENTIA CAPITAL MANAGEMENT LTD,"Jan 11, 2017",
ALBERTO LLANEZA MARTIN,Judicial Representatives,C 79067,AUDENTIA CAPITAL MANAGEMENT LTD,"Jan 11, 2017",
JORGE RODRIGUEZ,Judicial Representatives,C 79067,AUDENTIA CAPITAL MANAGEMENT LTD,"Jan 11, 2017",
MANUEL JESUS SUAREZVALLINA,Shareholders,C 79067,AUDENTIA CAPITAL MANAGEMENT LTD,"Jan 11, 2017",
MARIA MERCEDES CASTELLO LOPEZ,Shareholders,C 61283,ARGRA PROPERTY HOLDINGS LIMITED,"Jul 23, 2013",
FRANCISCO MENENDEZ RUBIO,Legal Representatives,C 54708,BAYWATER CONSULTING LIMITED,"Dec 15, 2011",
FRANCISCO MENENDEZ RUBIO,Shareholders,C 54708,BAYWATER CONSULTING LIMITED,"Dec 15, 2011",
FRANCISCO MENENDEZ RUBIO,Judicial Representatives,C 54708,BAYWATER CONSULTING LIMITED,"Dec 15, 2011",
FRANCISCO MENENDEZ RUBIO,Directors,C 54708,BAYWATER CONSULTING LIMITED,"Dec 15, 2011",
FRANCISCO MENENDEZ RUBIO,Secretaries,C 54708,BAYWATER CONSULTING LIMITED,"Dec 15, 2011",
KRISTIN TOMASSI THUNFORS,Shareholders,C 62972,BIO SYNERGY INVESTMENTS LTD,"Dec 05, 2013",
ALBERTO LLANEZA MARTIN,Legal Representatives,C 68182,AUDENTIA CAPITAL HOLDINGS LIMITED,"Dec 18, 2014",
ALBERTO LLANEZA MARTIN,Shareholders,C 68182,AUDENTIA CAPITAL HOLDINGS LIMITED,"Dec 18, 2014",
ALBERTO LLANEZA MARTIN,Judicial Representatives,C 68182,AUDENTIA CAPITAL HOLDINGS LIMITED,"Dec 18, 2014",
ALBERTO LLANEZA MARTIN,Directors,C 68182,AUDENTIA CAPITAL HOLDINGS LIMITED,"Dec 18, 2014",
ALBERTO LLANEZA MARTIN,Secretaries,C 68182,AUDENTIA CAPITAL HOLDINGS LIMITED,"Dec 18, 2014",
JUAN PABLO GONZALEZ GONZALEZ,Legal Representatives,C 6798,BROKEN CROWN SHIPPING CO. LTD,Company Status,
SANTIAGO ROSAS BERMUDEZ,Legal Representatives,C 6798,BROKEN CROWN SHIPPING CO. LTD,Company Status,
JOSE MANUEL SANZ DE LA VEGA,Legal Representatives,C 6798,BROKEN CROWN SHIPPING CO. LTD,Company Status,
JUAN PABLO GONZALEZ GONZALEZ,Directors,C 6798,BROKEN CROWN SHIPPING CO. LTD,Company Status,
SANTIAGO ROSAS BERMUDEZ,Directors,C 6798,BROKEN CROWN SHIPPING CO. LTD,Company Status,
JOSE MANUEL SANZ DE LA VEGA,Directors,C 6798,BROKEN CROWN SHIPPING CO. LTD,Company Status,
JUAN PABLO GONZALEZ GONZALEZ,Judicial Representatives,C 6798,BROKEN CROWN SHIPPING CO. LTD,Company Status,
SANTIAGO ROSAS BERMUDEZ,Judicial Representatives,C 6798,BROKEN CROWN SHIPPING CO. LTD,Company Status,
JOSE MANUEL SANZ DE LA VEGA,Judicial Representatives,C 6798,BROKEN CROWN SHIPPING CO. LTD,Company Status,
EMILIO BORELLA ORTEGA,Legal Representatives,C 74026,BETGAM ENTERTAINMENT GROUP LIMITED,"Jan 21, 2016",
EMILIO BORELLA ORTEGA,Directors,C 74026,BETGAM ENTERTAINMENT GROUP LIMITED,"Jan 21, 2016",
EMILIO BORELLA ORTEGA,Judicial Representatives,C 74026,BETGAM ENTERTAINMENT GROUP LIMITED,"Jan 21, 2016",
EMILIO BORELLA ORTEGA,Secretaries,C 74026,BETGAM ENTERTAINMENT GROUP LIMITED,"Jan 21, 2016",
EMILIO BORELLA ORTEGA,Shareholders,C 74026,BETGAM ENTERTAINMENT GROUP LIMITED,"Jan 21, 2016",
NARCIS CLAVELL SOLDEVILA,Legal Representatives,C 35305,ATEKNEA SOLUTIONS MALTA LTD,"Dec 21, 2004",
NARCIS CLAVELL SOLDEVILA,Judicial Representatives,C 35305,ATEKNEA SOLUTIONS MALTA LTD,"Dec 21, 2004",
NARCIS CLAVELL SOLDEVILA,Directors,C 35305,ATEKNEA SOLUTIONS MALTA LTD,"Dec 21, 2004",
NARCIS CLAVELL SOLDEVILA,Secretaries,C 35305,ATEKNEA SOLUTIONS MALTA LTD,"Dec 21, 2004",
LUIS OCTAVIO ALGUERO AZQUETA,Legal Representatives,C 75870,ANF AC MALTA LTD,"May 31, 2016",
FLORENCIO DIAZ VILCHES,Legal Representatives,C 75870,ANF AC MALTA LTD,"May 31, 2016",
LUIS OCTAVIO ALGUERO AZQUETA,Directors,C 75870,ANF AC MALTA LTD,"May 31, 2016",
