name,type,company_id,company_name,registration_date,status
ROMAN STERLINGOV,Shareholders,C 69576,BITCOASTER VENTURES LTD,"Mar 16, 2015",
GERT LIND,Legal Representatives,C 70419,AT GAMING LTD,"May 05, 2015",
GERT LIND,Judicial Representatives,C 70419,AT GAMING LTD,"May 05, 2015",
GERT LIND,Directors,C 70419,AT GAMING LTD,"May 05, 2015",
ANNA ROOSMARK,Shareholders,C 58706,ASAJA LIMITED,"Dec 19, 2012",
STAFFAN ROOSMARK,Shareholders,C 58706,ASAJA LIMITED,"Dec 19, 2012",
NILS GEORG HOLMSTROM,Legal Representatives,C 74723,BOARDWALK HOLDING LIMITED,"Apr 19, 2016",
NILS GEORG HOLMSTROM,Shareholders,C 74723,BOARDWALK HOLDING LIMITED,"Apr 19, 2016",
NILS GEORG HOLMSTROM,Judicial Representatives,C 74723,BOARDWALK HOLDING LIMITED,"Apr 19, 2016",
NILS GEORG HOLMSTROM,Directors,C 74723,BOARDWALK HOLDING LIMITED,"Apr 19, 2016",
NILS GEORG HOLMSTROM,Secretaries,C 74723,BOARDWALK HOLDING LIMITED,"Apr 19, 2016",
ROLF GERHARD HALLIN,Legal Representatives,C 48115,AURIFODINA HOLDING LTD,"Nov 06, 2009",
ROLF GERHARD HALLIN,Shareholders,C 48115,AURIFODINA HOLDING LTD,"Nov 06, 2009",
ROLF GERHARD HALLIN,Judicial Representatives,C 48115,AURIFODINA HOLDING LTD,"Nov 06, 2009",
ROLF GERHARD HALLIN,Directors,C 48115,AURIFODINA HOLDING LTD,"Nov 06, 2009",
Lars Peter Sjoberg,Legal Representatives,C 49376,BETCLIC ENTERPRISES LIMITED,"Apr 13, 2010",
Lars Peter Sjoberg,Judicial Representatives,C 49376,BETCLIC ENTERPRISES LIMITED,"Apr 13, 2010",
Lars Peter Sjoberg,Directors,C 49376,BETCLIC ENTERPRISES LIMITED,"Apr 13, 2010",
LARS MATHIAS NYSTROM,Legal Representatives,C 45871,BROOM HOLDING LIMITED,"Dec 18, 2008",
THOMMY MICHAEL VIKLANDER,Legal Representatives,C 45871,BROOM HOLDING LIMITED,"Dec 18, 2008",
LARS MATHIAS NYSTROM,Directors,C 45871,BROOM HOLDING LIMITED,"Dec 18, 2008",
THOMMY MICHAEL VIKLANDER,Directors,C 45871,BROOM HOLDING LIMITED,"Dec 18, 2008",
LARS MATHIAS NYSTROM,Judicial Representatives,C 45871,BROOM HOLDING LIMITED,"Dec 18, 2008",
THOMMY MICHAEL VIKLANDER,Judicial Representatives,C 45871,BROOM HOLDING LIMITED,"Dec 18, 2008",
NILS SEBASTIAN HOGBERG,Legal Representatives,C 61543,BASS MEDIA LIMITED,"Aug 12, 2013",
NILS SEBASTIAN HOGBERG,Judicial Representatives,C 61543,BASS MEDIA LIMITED,"Aug 12, 2013",
NILS SEBASTIAN HOGBERG,Directors,C 61543,BASS MEDIA LIMITED,"Aug 12, 2013",
NILS SEBASTIAN HOGBERG,Secretaries,C 61543,BASS MEDIA LIMITED,"Aug 12, 2013",
KRISTOFFER HULDT,Legal Representatives,SV 363,BESTUM UNIVERSALIS FUND IC SICAV P.L.C,"May 20, 2015",In Dissolution
KRISTOFFER HULDT,Judicial Representatives,SV 363,BESTUM UNIVERSALIS FUND IC SICAV P.L.C,"May 20, 2015",In Dissolution
