name,type,company_id,company_name,registration_date,status
ROLAND DEGOUMOIS,Legal Representatives,C 58630,BLADE HOLDING LTD,"Dec 14, 2012",
DANIEL SAGER,Legal Representatives,C 58630,BLADE HOLDING LTD,"Dec 14, 2012",
ROLAND DEGOUMOIS,Shareholders,C 58630,BLADE HOLDING LTD,"Dec 14, 2012",
DANIEL SAGER,Shareholders,C 58630,BLADE HOLDING LTD,"Dec 14, 2012",
ROLAND DEGOUMOIS,Judicial Representatives,C 58630,BLADE HOLDING LTD,"Dec 14, 2012",
DANIEL SAGER,Judicial Representatives,C 58630,BLADE HOLDING LTD,"Dec 14, 2012",
ROLAND DEGOUMOIS,Directors,C 58630,BLADE HOLDING LTD,"Dec 14, 2012",
DANIEL SAGER,Directors,C 58630,BLADE HOLDING LTD,"Dec 14, 2012",
CLAUDIO TONOLLA,Legal Representatives,C 54304,BIOPHARM LIMITED,"Nov 03, 2011",
CLAUDIO TONOLLA,Directors,C 54304,BIOPHARM LIMITED,"Nov 03, 2011",
CLAUDIO TONOLLA,Judicial Representatives,C 54304,BIOPHARM LIMITED,"Nov 03, 2011",
EROS LOMBARDO,Legal Representatives,SV 450,BERGHOLT SICAV P.L.C.,"Apr 17, 2017",
CLAUDIO TONOLLA,Legal Representatives,SV 450,BERGHOLT SICAV P.L.C.,"Apr 17, 2017",
EROS LOMBARDO,Directors,SV 450,BERGHOLT SICAV P.L.C.,"Apr 17, 2017",
CLAUDIO TONOLLA,Directors,SV 450,BERGHOLT SICAV P.L.C.,"Apr 17, 2017",
EROS LOMBARDO,Judicial Representatives,SV 450,BERGHOLT SICAV P.L.C.,"Apr 17, 2017",
CLAUDIO TONOLLA,Judicial Representatives,SV 450,BERGHOLT SICAV P.L.C.,"Apr 17, 2017",
SUKRU EVRENGUN,Shareholders,C 59139,BLUE WHALE LIMITED,"Feb 18, 2013",
STEFANO DONINELLI,Legal Representatives,C 46035,Asifa Holding Limited,"Jan 15, 2009",
STEFANO DONINELLI,Judicial Representatives,C 46035,Asifa Holding Limited,"Jan 15, 2009",
STEFANO DONINELLI,Directors,C 46035,Asifa Holding Limited,"Jan 15, 2009",
STEFANO DONINELLI,Secretaries,C 46035,Asifa Holding Limited,"Jan 15, 2009",
JULIA KLARA MARIA SEEBACHER,Legal Representatives,C 48019,AYEMMA LIMITED,"Oct 23, 2009",
JULIA KLARA MARIA SEEBACHER,Directors,C 48019,AYEMMA LIMITED,"Oct 23, 2009",
JULIA KLARA MARIA SEEBACHER,Judicial Representatives,C 48019,AYEMMA LIMITED,"Oct 23, 2009",
JULIA KLARA MARIA SEEBACHER,Shareholders,C 48019,AYEMMA LIMITED,"Oct 23, 2009",
LUCA GEIGER,Legal Representatives,C 79756,bSupporter Limited,"Feb 27, 2017",
LUCA GEIGER,Directors,C 79756,bSupporter Limited,"Feb 27, 2017",
LUCA GEIGER,Judicial Representatives,C 79756,bSupporter Limited,"Feb 27, 2017",
RAFFAELE ROSSETTI,Legal Representatives,C 70100,AQA CAPITAL HOLDING LTD,"Apr 16, 2015",
RAFFAELE ROSSETTI,Judicial Representatives,C 70100,AQA CAPITAL HOLDING LTD,"Apr 16, 2015",
RAFFAELE ROSSETTI,Directors,C 70100,AQA CAPITAL HOLDING LTD,"Apr 16, 2015",
