name,type,company_id,company_name,registration_date,status
MOHAMAD AL SAJ,Legal Representatives,C 4112,A.M. MANGION LIMITED,Company Status,
MOHAMAD AL SAJ,Directors,C 4112,A.M. MANGION LIMITED,Company Status,
MOHAMAD AL SAJ,Judicial Representatives,C 4112,A.M. MANGION LIMITED,Company Status,
MOHAMAD AL SAJ,Secretaries,C 4112,A.M. MANGION LIMITED,Company Status,
MOHAMAD AL SAJ,Shareholders,C 4112,A.M. MANGION LIMITED,Company Status,
MOHAMAD AL SAJ,Legal Representatives,C 3936,A.M. HOLDINGS LIMITED,Company Status,
MOHAMAD AL SAJ,Directors,C 3936,A.M. HOLDINGS LIMITED,Company Status,
MOHAMAD AL SAJ,Judicial Representatives,C 3936,A.M. HOLDINGS LIMITED,Company Status,
MOHAMAD AL SAJ,Secretaries,C 3936,A.M. HOLDINGS LIMITED,Company Status,
MOHAMAD AL SAJ,Shareholders,C 3936,A.M. HOLDINGS LIMITED,Company Status,
HASSAN RAWI SMIR,Directors,C 24417,ALZAFRI EXPORTS LIMITED,"Apr 16, 1999",
HASSAN RAWI SMIR,Judicial Representatives,C 24417,ALZAFRI EXPORTS LIMITED,"Apr 16, 1999",
HASSAN RAWI SMIR,Secretaries,C 24417,ALZAFRI EXPORTS LIMITED,"Apr 16, 1999",
Maher Alakrami,Legal Representatives,C 67879,ALSEHAM CO LTD,"Dec 05, 2014",
Maher Alakrami,Directors,C 67879,ALSEHAM CO LTD,"Dec 05, 2014",
Maher Alakrami,Judicial Representatives,C 67879,ALSEHAM CO LTD,"Dec 05, 2014",
Maher Alakrami,Secretaries,C 67879,ALSEHAM CO LTD,"Dec 05, 2014",
Maher Alakrami,Shareholders,C 67879,ALSEHAM CO LTD,"Dec 05, 2014",
MOHAMAD AL SAJ,Legal Representatives,C 70402,A.M. GLOBAL IMPEX LTD,"Jun 12, 2015",
MOHAMAD AL SAJ,Directors,C 70402,A.M. GLOBAL IMPEX LTD,"Jun 12, 2015",
MOHAMAD AL SAJ,Judicial Representatives,C 70402,A.M. GLOBAL IMPEX LTD,"Jun 12, 2015",
MOHAMAD AL SAJ,Secretaries,C 70402,A.M. GLOBAL IMPEX LTD,"Jun 12, 2015",
MOHAMAD AL SAJ,Shareholders,C 70402,A.M. GLOBAL IMPEX LTD,"Jun 12, 2015",
IBRAHIM AL SOULEIMAN,Legal Representatives,OC 969,A.B.M.S. Gmbh,"Aug 17, 2015",
IBRAHIM AL SOULEIMAN,Directors,OC 969,A.B.M.S. Gmbh,"Aug 17, 2015",
ABDALLAH ABDULRAHMAN TABALO,Directors,C 28878,ALMA-MYRA TRANSPORT LTD.,"Nov 05, 2001",
YASMIN SALOUM,Directors,C 33588,BIEN ETRE COMPANY LIMITED,"Mar 26, 2004",
YASMIN SALOUM,Judicial Representatives,C 33588,BIEN ETRE COMPANY LIMITED,"Mar 26, 2004",
YASMIN SALOUM,Shareholders,C 33588,BIEN ETRE COMPANY LIMITED,"Mar 26, 2004",
MAMDOUH ALTLLAS,Legal Representatives,C 67521,AMIR LTD,"Nov 07, 2014",
MAMDOUH ALTLLAS,Shareholders,C 67521,AMIR LTD,"Nov 07, 2014",
MAMDOUH ALTLLAS,Judicial Representatives,C 67521,AMIR LTD,"Nov 07, 2014",
MAMDOUH ALTLLAS,Directors,C 67521,AMIR LTD,"Nov 07, 2014",
MAMDOUH ALTLLAS,Secretaries,C 67521,AMIR LTD,"Nov 07, 2014",
MODAR ALHOUSAIN,Legal Representatives,C 80221,AM INTERNATIONAL TRADING LIMITED,"Mar 29, 2017",
MODAR ALHOUSAIN,Directors,C 80221,AM INTERNATIONAL TRADING LIMITED,"Mar 29, 2017",
MODAR ALHOUSAIN,Judicial Representatives,C 80221,AM INTERNATIONAL TRADING LIMITED,"Mar 29, 2017",
MODAR ALHOUSAIN,Secretaries,C 80221,AM INTERNATIONAL TRADING LIMITED,"Mar 29, 2017",
MODAR ALHOUSAIN,Shareholders,C 80221,AM INTERNATIONAL TRADING LIMITED,"Mar 29, 2017",
