name,type,company_id,company_name,registration_date,status
AMOR BENTANFOUS,Shareholders,P 1571,B & M Beauty Creations,"Mar 26, 2015",
OUANES MALEK,Shareholders,C 49470,ARTOS HOLDING LIMITED,"Apr 23, 2010",
FATHI BOUGHAMI,Legal Representatives,C 7764,BRANDS INTERNATIONAL LTD,Company Status,
FATHI BOUGHAMI,Directors,C 7764,BRANDS INTERNATIONAL LTD,Company Status,
FATHI BOUGHAMI,Judicial Representatives,C 7764,BRANDS INTERNATIONAL LTD,Company Status,
FATHI BOUGHAMI,Shareholders,C 7764,BRANDS INTERNATIONAL LTD,Company Status,
FATHI BOUGHAMI,Secretaries,C 7764,BRANDS INTERNATIONAL LTD,Company Status,
LASSAAD KILANI,Legal Representatives,C 73328,"AQUILARIA SERVICES, LOGISTICS & TRADE LTD","Dec 01, 2015",
RAFIK KILANI,Legal Representatives,C 73328,"AQUILARIA SERVICES, LOGISTICS & TRADE LTD","Dec 01, 2015",
LASSAAD KILANI,Judicial Representatives,C 73328,"AQUILARIA SERVICES, LOGISTICS & TRADE LTD","Dec 01, 2015",
RAFIK KILANI,Judicial Representatives,C 73328,"AQUILARIA SERVICES, LOGISTICS & TRADE LTD","Dec 01, 2015",
LASSAAD KILANI,Directors,C 73328,"AQUILARIA SERVICES, LOGISTICS & TRADE LTD","Dec 01, 2015",
RAFIK KILANI,Directors,C 73328,"AQUILARIA SERVICES, LOGISTICS & TRADE LTD","Dec 01, 2015",
TOUMI KHALIFA BEN ALI,Legal Representatives,C 29369,BENNOUR EXPORT LIMITED,"Feb 26, 2002",
TOUMI KHALIFA BEN ALI,Directors,C 29369,BENNOUR EXPORT LIMITED,"Feb 26, 2002",
TOUMI KHALIFA BEN ALI,Judicial Representatives,C 29369,BENNOUR EXPORT LIMITED,"Feb 26, 2002",
JAMEL SAKKA,Legal Representatives,C 39594,BM IT LIMITED,"Sep 22, 2006",
JAMEL SAKKA,Judicial Representatives,C 39594,BM IT LIMITED,"Sep 22, 2006",
JAMEL SAKKA,Directors,C 39594,BM IT LIMITED,"Sep 22, 2006",
LABIB AKRIMI,Legal Representatives,C 60088,BEST CONSULTING MALTA HOLDING LIMITED,"Apr 19, 2013",
LABIB AKRIMI,Directors,C 60088,BEST CONSULTING MALTA HOLDING LIMITED,"Apr 19, 2013",
LABIB AKRIMI,Judicial Representatives,C 60088,BEST CONSULTING MALTA HOLDING LIMITED,"Apr 19, 2013",
LABIB AKRIMI,Shareholders,C 60088,BEST CONSULTING MALTA HOLDING LIMITED,"Apr 19, 2013",
KOOLI MOURAD,Legal Representatives,C 66800,ASTERIAS CO. LTD,"Sep 19, 2014",
KOOLI MOURAD,Directors,C 66800,ASTERIAS CO. LTD,"Sep 19, 2014",
KOOLI MOURAD,Judicial Representatives,C 66800,ASTERIAS CO. LTD,"Sep 19, 2014",
KOOLI MOURAD,Secretaries,C 66800,ASTERIAS CO. LTD,"Sep 19, 2014",
KOOLI MOURAD,Shareholders,C 66800,ASTERIAS CO. LTD,"Sep 19, 2014",
AMOR BENTANFOUS,Shareholders,C 216,B & M CONSTRUCTION LTD ( D 597 ),Company Status,In Dissolution
ALI BOUJENOUI,Legal Representatives,C 66913,BMAV SERVICES LIMITED,"Oct 01, 2014",
ALI BOUJENOUI,Directors,C 66913,BMAV SERVICES LIMITED,"Oct 01, 2014",
ALI BOUJENOUI,Judicial Representatives,C 66913,BMAV SERVICES LIMITED,"Oct 01, 2014",
ALI BOUJENOUI,Secretaries,C 66913,BMAV SERVICES LIMITED,"Oct 01, 2014",
ALI BOUJENOUI,Shareholders,C 66913,BMAV SERVICES LIMITED,"Oct 01, 2014",
BEL HADJ MOHAMED,Directors,C 29221,BEL ORIONT COMPANY LIMITED,"Jan 30, 2002",
BEL HADJ MOHAMED,Judicial Representatives,C 29221,BEL ORIONT COMPANY LIMITED,"Jan 30, 2002",
BEL HADJ MOHAMED,Secretaries,C 29221,BEL ORIONT COMPANY LIMITED,"Jan 30, 2002",
FATHI BOUGHAMI,Legal Representatives,C 40397,BRANDS DISTRIBUTION EUROPE LTD,"Dec 21, 2006",
FATHI BOUGHAMI,Directors,C 40397,BRANDS DISTRIBUTION EUROPE LTD,"Dec 21, 2006",
FATHI BOUGHAMI,Judicial Representatives,C 40397,BRANDS DISTRIBUTION EUROPE LTD,"Dec 21, 2006",
FATHI BOUGHAMI,Shareholders,C 40397,BRANDS DISTRIBUTION EUROPE LTD,"Dec 21, 2006",
FATHI BOUGHAMI,Secretaries,C 40397,BRANDS DISTRIBUTION EUROPE LTD,"Dec 21, 2006",
ADEL AGREBI,Legal Representatives,C 58056,AMG OVERSEAS TRADING LTD,"Oct 30, 2012",
ADEL AGREBI,Directors,C 58056,AMG OVERSEAS TRADING LTD,"Oct 30, 2012",
ADEL AGREBI,Judicial Representatives,C 58056,AMG OVERSEAS TRADING LTD,"Oct 30, 2012",
ADEL AGREBI,Secretaries,C 58056,AMG OVERSEAS TRADING LTD,"Oct 30, 2012",
ADEL AGREBI,Shareholders,C 58056,AMG OVERSEAS TRADING LTD,"Oct 30, 2012",
SLIM BOURICHA,Legal Representatives,C 47795,BEENDER MARINE LTD,"Sep 24, 2009",
SLIM BOURICHA,Directors,C 47795,BEENDER MARINE LTD,"Sep 24, 2009",
SLIM BOURICHA,Judicial Representatives,C 47795,BEENDER MARINE LTD,"Sep 24, 2009",
EZZEDDINE AOUNI,Directors,C 28512,ALMA INTERNATIONAL LIMITED,"Jul 24, 2001",
EZZEDDINE AOUNI,Judicial Representatives,C 28512,ALMA INTERNATIONAL LIMITED,"Jul 24, 2001",
EZZEDDINE AOUNI,Shareholders,C 28512,ALMA INTERNATIONAL LIMITED,"Jul 24, 2001",
JAMEL SAKKA,Legal Representatives,C 30793,BELLNET LIMITED,"Jan 13, 2003",
JAMEL SAKKA,Judicial Representatives,C 30793,BELLNET LIMITED,"Jan 13, 2003",
JAMEL SAKKA,Directors,C 30793,BELLNET LIMITED,"Jan 13, 2003",
MOHAMED ZAIEM,Shareholders,C 65958,BEST CLOTHING EXPERTS LIMITED,"Jul 10, 2014",
JAMEL SAKKA,Legal Representatives,C 39699,BM SUPPORT SERVICES LIMITED,"Oct 06, 2006",
JAMEL SAKKA,Judicial Representatives,C 39699,BM SUPPORT SERVICES LIMITED,"Oct 06, 2006",
JAMEL SAKKA,Directors,C 39699,BM SUPPORT SERVICES LIMITED,"Oct 06, 2006",
LABIB AKRIMI,Legal Representatives,C 60091,BEST CONSULTING MALTA LIMITED,"Apr 19, 2013",
LABIB AKRIMI,Directors,C 60091,BEST CONSULTING MALTA LIMITED,"Apr 19, 2013",
LABIB AKRIMI,Judicial Representatives,C 60091,BEST CONSULTING MALTA LIMITED,"Apr 19, 2013",
