name,type,company_id,company_name,registration_date,status
OZKAN BURAK AKAT,Directors,C 18085,ALPES SHIPPING & TRADING CO LTD,"Mar 23, 1995",
RUSTU ERIM AKAT,Directors,C 18085,ALPES SHIPPING & TRADING CO LTD,"Mar 23, 1995",
OZKAN BURAK AKAT,Shareholders,C 18085,ALPES SHIPPING & TRADING CO LTD,"Mar 23, 1995",
RUSTU ERIM AKAT,Shareholders,C 18085,ALPES SHIPPING & TRADING CO LTD,"Mar 23, 1995",
AHMET ALI AGAOGLU,Legal Representatives,C 51857,BLACK STAR CHEMICAL CARRIERS LTD,"Feb 01, 2011",
AHMET ALI AGAOGLU,Directors,C 51857,BLACK STAR CHEMICAL CARRIERS LTD,"Feb 01, 2011",
AHMET ALI AGAOGLU,Judicial Representatives,C 51857,BLACK STAR CHEMICAL CARRIERS LTD,"Feb 01, 2011",
AHMET ALI AGAOGLU,Shareholders,C 51857,BLACK STAR CHEMICAL CARRIERS LTD,"Feb 01, 2011",
Bulent Topbas,Legal Representatives,SV 88,Bosphorus Umbrella SICAV P.L.C.,"May 08, 2008",
Omer Z. Topbas,Legal Representatives,SV 88,Bosphorus Umbrella SICAV P.L.C.,"May 08, 2008",
Bulent Topbas,Shareholders,SV 88,Bosphorus Umbrella SICAV P.L.C.,"May 08, 2008",
Omer Z. Topbas,Shareholders,SV 88,Bosphorus Umbrella SICAV P.L.C.,"May 08, 2008",
Bulent Topbas,Judicial Representatives,SV 88,Bosphorus Umbrella SICAV P.L.C.,"May 08, 2008",
Omer Z. Topbas,Judicial Representatives,SV 88,Bosphorus Umbrella SICAV P.L.C.,"May 08, 2008",
Bulent Topbas,Directors,SV 88,Bosphorus Umbrella SICAV P.L.C.,"May 08, 2008",
Omer Z. Topbas,Directors,SV 88,Bosphorus Umbrella SICAV P.L.C.,"May 08, 2008",
ADIL TURGUT,Legal Representatives,C 39929,ATA SHIPPING CO. LTD.,"Nov 09, 2006",
ADIL TURGUT,Directors,C 39929,ATA SHIPPING CO. LTD.,"Nov 09, 2006",
ADIL TURGUT,Judicial Representatives,C 39929,ATA SHIPPING CO. LTD.,"Nov 09, 2006",
ADIL TURGUT,Shareholders,C 39929,ATA SHIPPING CO. LTD.,"Nov 09, 2006",
MEHMET BULENT ERGIN,Legal Representatives,C 30798,AVOR NAVIGATION LTD.,"Jan 14, 2003",
MEHMET MAT,Legal Representatives,C 30798,AVOR NAVIGATION LTD.,"Jan 14, 2003",
ALI TUGRUL TOKGOZ,Legal Representatives,C 30798,AVOR NAVIGATION LTD.,"Jan 14, 2003",
MEHMET BULENT ERGIN,Directors,C 30798,AVOR NAVIGATION LTD.,"Jan 14, 2003",
MEHMET MAT,Directors,C 30798,AVOR NAVIGATION LTD.,"Jan 14, 2003",
ALI TUGRUL TOKGOZ,Directors,C 30798,AVOR NAVIGATION LTD.,"Jan 14, 2003",
MEHMET BULENT ERGIN,Judicial Representatives,C 30798,AVOR NAVIGATION LTD.,"Jan 14, 2003",
MEHMET MAT,Judicial Representatives,C 30798,AVOR NAVIGATION LTD.,"Jan 14, 2003",
ALI TUGRUL TOKGOZ,Judicial Representatives,C 30798,AVOR NAVIGATION LTD.,"Jan 14, 2003",
ALI TUGRUL TOKGOZ,Shareholders,C 30798,AVOR NAVIGATION LTD.,"Jan 14, 2003",
AHMET RIFAT KARAKIMSELI,Legal Representatives,C 35572,BLACK TETRA SHIPPING LTD,"Feb 02, 2005",
AHMET RIFAT KARAKIMSELI,Directors,C 35572,BLACK TETRA SHIPPING LTD,"Feb 02, 2005",
AHMET RIFAT KARAKIMSELI,Judicial Representatives,C 35572,BLACK TETRA SHIPPING LTD,"Feb 02, 2005",
ERKAM YILDIRIM,Legal Representatives,C 40590,BLACK EAGLE MARINE CO. LTD,"Jan 09, 2007",
ERKAM YILDIRIM,Directors,C 40590,BLACK EAGLE MARINE CO. LTD,"Jan 09, 2007",
ERKAM YILDIRIM,Judicial Representatives,C 40590,BLACK EAGLE MARINE CO. LTD,"Jan 09, 2007",
BULENT YILDIRIM,Shareholders,C 40590,BLACK EAGLE MARINE CO. LTD,"Jan 09, 2007",
ERKAM YILDIRIM,Shareholders,C 40590,BLACK EAGLE MARINE CO. LTD,"Jan 09, 2007",
YILMAZ ASLAN,Legal Representatives,C 79342,ASKA MARINE LIMITED,"Jan 30, 2017",
YILMAZ ASLAN,Directors,C 79342,ASKA MARINE LIMITED,"Jan 30, 2017",
YILMAZ ASLAN,Judicial Representatives,C 79342,ASKA MARINE LIMITED,"Jan 30, 2017",
MELIH MURAT DURAL,Legal Representatives,C 54558,ALT INTERNATIONAL LIMITED,"Nov 30, 2011",
MELIH MURAT DURAL,Judicial Representatives,C 54558,ALT INTERNATIONAL LIMITED,"Nov 30, 2011",
MELIH MURAT DURAL,Directors,C 54558,ALT INTERNATIONAL LIMITED,"Nov 30, 2011",
GURCAN MAZMAN,Legal Representatives,C 51109,BLACK FUNNEL SHIPPING LTD,"Nov 08, 2010",
GURCAN MAZMAN,Directors,C 51109,BLACK FUNNEL SHIPPING LTD,"Nov 08, 2010",
GURCAN MAZMAN,Judicial Representatives,C 51109,BLACK FUNNEL SHIPPING LTD,"Nov 08, 2010",
NAHIDE MAZMAN,Shareholders,C 51109,BLACK FUNNEL SHIPPING LTD,"Nov 08, 2010",
AHMET TACYILDIZ,Shareholders,C 80549,ARIEL NAVIGATION COMPANY LIMITED,"Apr 20, 2017",
RECAI OZTURK,Legal Representatives,C 34314,BLACK SEA EXPRESS LTD.,"Jul 20, 2004",
RECAI OZTURK,Directors,C 34314,BLACK SEA EXPRESS LTD.,"Jul 20, 2004",
RECAI OZTURK,Judicial Representatives,C 34314,BLACK SEA EXPRESS LTD.,"Jul 20, 2004",
FADIME OZTURK,Shareholders,C 34314,BLACK SEA EXPRESS LTD.,"Jul 20, 2004",
RECAI OZTURK,Shareholders,C 34314,BLACK SEA EXPRESS LTD.,"Jul 20, 2004",
IBRAHIM ASLAN,Legal Representatives,C 48574,BIS HOLDING LIMITED,"Jan 05, 2010",
IBRAHIM ASLAN,Shareholders,C 48574,BIS HOLDING LIMITED,"Jan 05, 2010",
IBRAHIM ASLAN,Judicial Representatives,C 48574,BIS HOLDING LIMITED,"Jan 05, 2010",
IBRAHIM ASLAN,Directors,C 48574,BIS HOLDING LIMITED,"Jan 05, 2010",
IBRAHIM ASLAN,Secretaries,C 48574,BIS HOLDING LIMITED,"Jan 05, 2010",
MESUT CESUR,Legal Representatives,C 49512,BLUE FIN SHIPPING LTD,"Apr 29, 2010",
EROL SOYLU,Legal Representatives,C 49512,BLUE FIN SHIPPING LTD,"Apr 29, 2010",
MEHMET YILMAZ ULUSOY,Legal Representatives,C 49512,BLUE FIN SHIPPING LTD,"Apr 29, 2010",
YILMAZ ULUSOY,Legal Representatives,C 49512,BLUE FIN SHIPPING LTD,"Apr 29, 2010",
MESUT CESUR,Directors,C 49512,BLUE FIN SHIPPING LTD,"Apr 29, 2010",
EROL SOYLU,Directors,C 49512,BLUE FIN SHIPPING LTD,"Apr 29, 2010",
MEHMET YILMAZ ULUSOY,Directors,C 49512,BLUE FIN SHIPPING LTD,"Apr 29, 2010",
YILMAZ ULUSOY,Directors,C 49512,BLUE FIN SHIPPING LTD,"Apr 29, 2010",
MESUT CESUR,Judicial Representatives,C 49512,BLUE FIN SHIPPING LTD,"Apr 29, 2010",
EROL SOYLU,Judicial Representatives,C 49512,BLUE FIN SHIPPING LTD,"Apr 29, 2010",
MEHMET YILMAZ ULUSOY,Judicial Representatives,C 49512,BLUE FIN SHIPPING LTD,"Apr 29, 2010",
YILMAZ ULUSOY,Judicial Representatives,C 49512,BLUE FIN SHIPPING LTD,"Apr 29, 2010",
MESUT CESUR,Shareholders,C 49512,BLUE FIN SHIPPING LTD,"Apr 29, 2010",
EROL SOYLU,Shareholders,C 49512,BLUE FIN SHIPPING LTD,"Apr 29, 2010",
