name,type,company_id,company_name,registration_date,status
VADYM GURZHOS,Legal Representatives,C 3474,ALU MALTA LTD,Company Status,
VADYM GURZHOS,Judicial Representatives,C 3474,ALU MALTA LTD,Company Status,
VADYM GURZHOS,Directors,C 3474,ALU MALTA LTD,Company Status,
VADYM GURZHOS,Secretaries,C 3474,ALU MALTA LTD,Company Status,
OLENA KIRSANOVA,Legal Representatives,C 79137,ASPECT INTERNATIONAL LIMITED,"Jan 17, 2017",
OLENA KIRSANOVA,Directors,C 79137,ASPECT INTERNATIONAL LIMITED,"Jan 17, 2017",
OLENA KIRSANOVA,Judicial Representatives,C 79137,ASPECT INTERNATIONAL LIMITED,"Jan 17, 2017",
OLENA KIRSANOVA,Shareholders,C 79137,ASPECT INTERNATIONAL LIMITED,"Jan 17, 2017",
VALENTYN MATUZKOV,Legal Representatives,C 46937,BELRIDGE INTERNATIONAL LIMITED,"Jun 03, 2009",
VALENTYN MATUZKOV,Directors,C 46937,BELRIDGE INTERNATIONAL LIMITED,"Jun 03, 2009",
VALENTYN MATUZKOV,Judicial Representatives,C 46937,BELRIDGE INTERNATIONAL LIMITED,"Jun 03, 2009",
OLENA ROSHCHENKO,Legal Representatives,C 65679,ARTINA LIMITED,"Jun 19, 2014",
OLENA ROSHCHENKO,Directors,C 65679,ARTINA LIMITED,"Jun 19, 2014",
OLENA ROSHCHENKO,Judicial Representatives,C 65679,ARTINA LIMITED,"Jun 19, 2014",
IRYNA MISHCHENKO,Secretaries,C 65679,ARTINA LIMITED,"Jun 19, 2014",
ALEKSANDER KRAKHMALNY,Legal Representatives,C 31416,BLACKSEA TRANSPORT SERVICE LTD,"May 13, 2003",
ALEKSANDER KRAKHMALNY,Directors,C 31416,BLACKSEA TRANSPORT SERVICE LTD,"May 13, 2003",
ALEKSANDER KRAKHMALNY,Judicial Representatives,C 31416,BLACKSEA TRANSPORT SERVICE LTD,"May 13, 2003",
Aleksander Krakhmalny,Secretaries,C 31416,BLACKSEA TRANSPORT SERVICE LTD,"May 13, 2003",
IRYNA BORYMSKA,Secretaries,C 59016,BEPLACED HOLDING LIMITED,"Jan 22, 2013",
OLEKSANDR BLIZNYUK,Legal Representatives,C 46653,ALTERUM TRADING LIMITED,"Apr 16, 2009",
OLEKSANDR BLIZNYUK,Directors,C 46653,ALTERUM TRADING LIMITED,"Apr 16, 2009",
OLEKSANDR BLIZNYUK,Judicial Representatives,C 46653,ALTERUM TRADING LIMITED,"Apr 16, 2009",
OLEKSANDR BLIZNYUK,Shareholders,C 46653,ALTERUM TRADING LIMITED,"Apr 16, 2009",
TETIANA HNATIUK,Legal Representatives,C 75592,BLUEMAGIC LTD,"May 12, 2016",
TETIANA HNATIUK,Directors,C 75592,BLUEMAGIC LTD,"May 12, 2016",
TETIANA HNATIUK,Judicial Representatives,C 75592,BLUEMAGIC LTD,"May 12, 2016",
TETIANA HNATIUK,Shareholders,C 75592,BLUEMAGIC LTD,"May 12, 2016",
FEDCHENKO VOLODYMYR,Legal Representatives,C 48455,5F YACHTING CO. LTD,"Dec 15, 2009",In Dissolution
FEDCHENKO VOLODYMYR,Directors,C 48455,5F YACHTING CO. LTD,"Dec 15, 2009",In Dissolution
FEDCHENKO VOLODYMYR,Judicial Representatives,C 48455,5F YACHTING CO. LTD,"Dec 15, 2009",In Dissolution
FEDCHENKO VOLODYMYR,Shareholders,C 48455,5F YACHTING CO. LTD,"Dec 15, 2009",In Dissolution
IRYNA BORYMSKA,Secretaries,C 59030,BEPLACED LIMITED,"Jan 22, 2013",
PAVLO POHYBA,Legal Representatives,C 75603,BET SERVICE GROUP LTD,"May 12, 2016",
PAVLO POHYBA,Directors,C 75603,BET SERVICE GROUP LTD,"May 12, 2016",
PAVLO POHYBA,Judicial Representatives,C 75603,BET SERVICE GROUP LTD,"May 12, 2016",
PAVLO POHYBA,Shareholders,C 75603,BET SERVICE GROUP LTD,"May 12, 2016",
OLENA KIRSANOVA,Legal Representatives,C 8007,ASPECTS LIMITED,Company Status,
OLENA KIRSANOVA,Shareholders,C 8007,ASPECTS LIMITED,Company Status,
OLENA KIRSANOVA,Judicial Representatives,C 8007,ASPECTS LIMITED,Company Status,
OLENA KIRSANOVA,Directors,C 8007,ASPECTS LIMITED,Company Status,
OLEKSII SYNKEVYCH,Shareholders,P COMM 186,ASTRA GROUP,"Sep 14, 2016",
YEVGEN BLIZNYUK,Legal Representatives,C 31343,BELSTAR SHIPPING LIMITED,"Apr 30, 2003",
YEVGEN BLIZNYUK,Directors,C 31343,BELSTAR SHIPPING LIMITED,"Apr 30, 2003",
