name,type,company_id,company_name,registration_date,status
ALEKSANDRA JOVCIC,Legal Representatives,C 41391,BIG BLUE LTD.,"May 16, 2007",
ALEKSANDRA JOVCIC,Directors,C 41391,BIG BLUE LTD.,"May 16, 2007",
ALEKSANDRA JOVCIC,Judicial Representatives,C 41391,BIG BLUE LTD.,"May 16, 2007",
ALEKSANDRA JOVCIC,Secretaries,C 41391,BIG BLUE LTD.,"May 16, 2007",
ALEKSANDRA JOVCIC,Shareholders,C 41391,BIG BLUE LTD.,"May 16, 2007",
MIROSLAV RNJAK,Directors,C 26397,BENTRADE LIMITED,"May 17, 2000",
MIROSLAV RNJAK,Judicial Representatives,C 26397,BENTRADE LIMITED,"May 17, 2000",
NEBOJSA JOSILO,Legal Representatives,C 39169,BRANEX CO. LTD,"Jul 19, 2006",
BRANIMIR MELENTIJEVIC,Legal Representatives,C 39169,BRANEX CO. LTD,"Jul 19, 2006",
NEBOJSA JOSILO,Shareholders,C 39169,BRANEX CO. LTD,"Jul 19, 2006",
BRANIMIR MELENTIJEVIC,Shareholders,C 39169,BRANEX CO. LTD,"Jul 19, 2006",
NEBOJSA JOSILO,Judicial Representatives,C 39169,BRANEX CO. LTD,"Jul 19, 2006",
BRANIMIR MELENTIJEVIC,Judicial Representatives,C 39169,BRANEX CO. LTD,"Jul 19, 2006",
NEBOJSA JOSILO,Directors,C 39169,BRANEX CO. LTD,"Jul 19, 2006",
BRANIMIR MELENTIJEVIC,Directors,C 39169,BRANEX CO. LTD,"Jul 19, 2006",
NEBOJSA JOSILO,Secretaries,C 39169,BRANEX CO. LTD,"Jul 19, 2006",
NEBOJSA DUKIC,Directors,C 33674,ATOL GENERAL TRADING LIMITED,"Apr 07, 2004",
NEBOJSA DUKIC,Judicial Representatives,C 33674,ATOL GENERAL TRADING LIMITED,"Apr 07, 2004",
NEBOJSA DUKIC,Shareholders,C 33674,ATOL GENERAL TRADING LIMITED,"Apr 07, 2004",
